scenario	run_a (green31)	run_b (green32)	run_c (green33)	mean	a_b_diff	a_b_MR	a_c_diff	a_c_MR	a_b_mean	a_b_MR_bar	a_b_UCL	a_c_mean	a_c_MR_bar	a_c_UCL	flag	note
No component no existing	547742	236469	384110	=AVERAGE(B2:D2)	=ABS(B2-C2)		=ABS(B2-D2)		=AVERAGEIF($F$2:$F$61,">0")	=AVERAGE($G$3:$G$61)	=$J$2+2.66*$K$2	=AVERAGEIF($H$2:$H$61,">0")	=AVERAGE($I$3:$I$61)	=$M$2+2.66*$N$2	=IF(OR(F2>$L$2,H2>$O$2),"out","")	First scenario; sets up the test automation that subsequent scenarios reuse
Has component no existing	0	0	0	=AVERAGE(B3:D3)	=ABS(B3-C3)	=IF(AND(F3>0,F2>0),ABS(F3-F2),"")	=ABS(B3-D3)	=IF(AND(H3>0,H2>0),ABS(H3-H2),"")							=IF(OR(F3>$L$2,H3>$O$2),"out","")	Covered transitively
No component no existing has background	0	0	0	=AVERAGE(B4:D4)	=ABS(B4-C4)	=IF(AND(F4>0,F3>0),ABS(F4-F3),"")	=ABS(B4-D4)	=IF(AND(H4>0,H3>0),ABS(H4-H3),"")							=IF(OR(F4>$L$2,H4>$O$2),"out","")	Covered transitively
No component no existing	253356	0	0	=AVERAGE(B5:D5)	=ABS(B5-C5)	=IF(AND(F5>0,F4>0),ABS(F5-F4),"")	=ABS(B5-D5)	=IF(AND(H5>0,H4>0),ABS(H5-H4),"")							=IF(OR(F5>$L$2,H5>$O$2),"out","")
No component has existing	368273	483249	490761	=AVERAGE(B6:D6)	=ABS(B6-C6)	=IF(AND(F6>0,F5>0),ABS(F6-F5),"")	=ABS(B6-D6)	=IF(AND(H6>0,H5>0),ABS(H6-H5),"")							=IF(OR(F6>$L$2,H6>$O$2),"out","")
Has component no existing	0	0	0	=AVERAGE(B7:D7)	=ABS(B7-C7)	=IF(AND(F7>0,F6>0),ABS(F7-F6),"")	=ABS(B7-D7)	=IF(AND(H7>0,H6>0),ABS(H7-H6),"")							=IF(OR(F7>$L$2,H7>$O$2),"out","")	Covered transitively
Has component has existing	0	0	0	=AVERAGE(B8:D8)	=ABS(B8-C8)	=IF(AND(F8>0,F7>0),ABS(F8-F7),"")	=ABS(B8-D8)	=IF(AND(H8>0,H7>0),ABS(H8-H7),"")							=IF(OR(F8>$L$2,H8>$O$2),"out","")	Covered transitively
No component has existing	0	0	0	=AVERAGE(B9:D9)	=ABS(B9-C9)	=IF(AND(F9>0,F8>0),ABS(F9-F8),"")	=ABS(B9-D9)	=IF(AND(H9>0,H8>0),ABS(H9-H8),"")							=IF(OR(F9>$L$2,H9>$O$2),"out","")	Covered transitively
Has component has existing	0	0	0	=AVERAGE(B10:D10)	=ABS(B10-C10)	=IF(AND(F10>0,F9>0),ABS(F10-F9),"")	=ABS(B10-D10)	=IF(AND(H10>0,H9>0),ABS(H10-H9),"")							=IF(OR(F10>$L$2,H10>$O$2),"out","")	Covered transitively
Has component no existing step object	0	0	0	=AVERAGE(B11:D11)	=ABS(B11-C11)	=IF(AND(F11>0,F10>0),ABS(F11-F10),"")	=ABS(B11-D11)	=IF(AND(H11>0,H10>0),ABS(H11-H10),"")							=IF(OR(F11>$L$2,H11>$O$2),"out","")	Covered transitively
Has component no existing step definition	0	0	0	=AVERAGE(B12:D12)	=ABS(B12-C12)	=IF(AND(F12>0,F11>0),ABS(F12-F11),"")	=ABS(B12-D12)	=IF(AND(H12>0,H11>0),ABS(H12-H11),"")							=IF(OR(F12>$L$2,H12>$O$2),"out","")	Covered transitively
